Comment,Actual_Sentiment,Predicted_Sentiment_Lexicon
"Just watched it on Netflix, mediocre film, just fan service, childish and splattered with stupid sometimes cringe worthy jokes. Dumb plot too. And this Spider-Man sure does not look 17 even though he is short????. So glad I did not waste my money watching this forgettable stuff in cinema",negative,neutral
so what happens when this peter meets his universe&#39;s otto octavious?,neutral,neutral
I feel blessed that I went to watch this in cinemaÃÃ¹?Ã£?Ã¨,positive,positive
This is the best trailer I have ever watched in my life,positive,positive
Its a big story and sad endingÃ??,positive,negative
2 years...,neutral,neutral
Overrated movie ,negative,neutral
"Damn, 2022 almost and effects still look like shit.",negative,negative
"It sounds just like another one of those confused movies that don&#39;t know where they want to go or what they want to be. I got so bored watching this intro I went to the kitchen before it even finished, and that&#39;s not easy to happen... Marvel movies are like Dragonball. When they start out, they make sense, but then they try to gradually become more and more &quot;epic&quot; until they just make no sense and there&#39;s nothing in them we can even relate to any longer. It&#39;s just a pure mess of exaggeration with no defined direction or meaning.",negative,positive
This is one of the fanticst movie ever,positive,neutral
I like how they edited out the part with Lizard getting punched by air,neutral,positive
Bro the whole Andrew saves MJ is just spoiling the ending if it&#39;s real they fucked up,negative,negative
"Everone saying they saw a glimce of electro and sandman<br><br><a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=136"">2:16</a> be like:",neutral,positive
I just hate that they edited out Tobey and Andrew,negative,negative
Watching this on netflix right now and i came to say this movie is utter nonsense it mentions brainwashing thats funny becuase its exactly what this movie was made to do.... Brainwash everyone its nonsense.,positive,negative
Spidies got too crazy this time....... watched the first show...,negative,negative
Not impressed,negative,positive
This trailer makes all the other movies look like kindergarten work. I love the idea of Strange telling Pete these guys are destined to die fighting him and Pete just not having it. That is some serious emotion going on.,negative,negative
"MOVIE REVIEW <br>       Spider Man: No Way Home is the third movie in the Spider Man trilogy starring Tom Holland. As a warning, going forward this review will contain spoilers. In this story of action, love, and self-sacrifice, Peter Parker, a seemingly ordinary high school senior, faces several trials after his identity as Spider Man is revealed to the public. When his new reputation threatens his chances of being accepted into college, with the help of Dr. Strange, he tries to cast a spell that will cause the world to forget that he is Spider Man. However, Peter messes up the spell and accidentally brings villains from various universes into his own universe. With the help of Dr. Strange, his friends, and heroes from the other universes, Peter makes an honorable sacrifice and saves the world from the villains. <br><br>       I thought that this movie was incredibly enjoyable. The film itself was skillfully developed with an interesting plot, talented actors, and impressive cinematography. One aspect of the plot that I especially appreciated was the balance of action and dialogue within the movie, each which added to the progression of the storyline. The plot also has a relevant and inspiring message about the importance of doing what is right and the nobleness of self-sacrifice. Although none of the characters always make the right choices, the film makes it clear how their good choices bring more positivity into their situations while their rash or unethical decisions negatively impact them. When they make bad decisions, the non-repentant characters, such as the villains, are defeated while the ones who work to correct their mistakes, although they may suffer, are victorious. This conveys the message that even when people make bad decisions, there is merit in persevering and striving for what is good.  For example, when Peter disobeys Dr. Strange, the villains come into the universe and threaten his city. However, when Peter, recognizing that he was wrong, takes responsibility for his disobedience and chooses to work with others in an attempt to stop the villains, it has a positive impact on the world that he is striving to protect. Throughout the film, several characters, such as Peter Parker, Aunt May, and MJ, have to make difficult decisions that involve significant sacrifice. It is a truth-filled film that acknowledges and has an appropriate attitude towards the beauty of the virtuous actions of Peter Parker and his friends and the ugliness of any actions motivated by the evil intentions of the villains. Even though the film has a fictional plot, the moral themes within the movie as well as the virtuous actions of the characters can be influential to todayÃ??s society. I also appreciated how the movie respected the dignity of the human person. Although there was death within the movie, particularly the death of Aunt May, the movie acknowledged the tragedy of her death appropriately and honored the sacrifice that she made. One aspect of the movie that I did not appreciate was that there was some unnecessary language. However, overall, I found Spider Man: No Way Home to be an impressive film production.",positive,positive
Gosh I wish I can go back in time and experience this again in THEATERS ????,positive,positive
Looks shit just like the rest of the capeshit movies.,negative,negative
"heriones from other universes know that peter is Spiderman, Why didn&#39;t they come back ???Ãµ",negative,neutral
just an other movie not worth my time because it is just style over substance with very little if any effort put in the writting.,negative,positive
"This movie sucks, let&#39;s be honest. Everyone is just so dumb, you can&#39;t tell who&#39;s good and who&#39;s bad anymore. Seriously, this movie is shit compared to 2002-2007 trilogy.",negative,negative
Another stupid movie ending but it&#39;s also becoming a habit in disney studios and now that theu bought marvel just wait for more of them.,negative,negative
I miss toby meguire being spiderman my childhood superhero the nostalgia is always there unforgettable ???Ã????,positive,negative
This movie is gonna be bad,negative,negative
Where is the real Peter ? This guy is useless,negative,negative
im from the future and i can confirmed you that there will be 3 spiderman on this movie,neutral,neutral
Seriously kids this days like this trash?<br>Worst Spiderman ever!,negative,negative
"You know,after watching the actual movie i feel like things could have been a lot worse (in the story) if Tom was the only Spider-Man.",negative,negative
"It&#39;s been 3 chapter &amp; like always this new machine spiderman always be the one who fak the thing up. Just pure dumb. That&#39;s what you get, stupid action come with stupid consequences.",negative,negative
Why the girlfriend is so ugly?,negative,negative
can&#39;t believe it&#39;s been a year,neutral,neutral
I wanna go back to opening night when I saw it just to relive how the theater screamed when Garfield jumped through that portal,positive,negative
I remember just screaming at all those shots of the villain literally waited ever minutes of the day for the trailer can&#39;t believe it&#39;s now been a year crazy ????,positive,negative
Forever grateful I was able to witness this movie,positive,positive
The only good thing that came out of Phase 4.,positive,positive
"Man, Mary Jane is ugly.  Bring back a Redhead!!",negative,negative
"I remember watching this movie for the first time in the theaters. I was alone but I wasnÃ??t lonely. Found myself highfiving and cheering with everyone around my seat. It was just tears and happiness, man!",positive,positive
One of the most overrated comic book films of the year.,negative,neutral
This far the best spiderman movie of all time,positive,positive
Wow.. this looks terrible.,negative,positive
IM WATCHING THIS TODAY,neutral,neutral
"The film disappointed me, I was waiting for a real masterpiece and got a funny fan fiction from a youngsters",negative,positive
Can&#39;t believe it has already been a full year since we were given this masterpiece. I was very fortunate to have witness this in theaters during opening weekend and it was indeed an experience I will never forget. Hoping that we get another Marvel movie like this in the future.,positive,positive
CanÃ??t believe my dream was happened,positive,positive
My favourite scene is when Steven says scobby do this crap,positive,negative
"They fked up in this movie, i thought they went back to the way things were at the end so how come may still died i thought theyd bring her back.",neutral,negative
this movie was all of december 2021 vibes,neutral,neutral
All this are fake trailer guysss...,negative,negative
Did this not come out in 2021,neutral,neutral
Most idiotic movie ever made by Marvel,negative,negative
This mj also screams annoyingly like the other mj,negative,negative
This trailer is stupid,negative,negative
Can&#39;t believe it&#39;s 2 years now,neutral,neutral
Still gives me chills everytime I watch it even after 2 years,positive,neutral
The internet went insane that fall!!,positive,negative
PLEASE MAKE MORE OF THESE THEY ARE MY FAV VIDS TO WATCH,positive,positive
Inpossble,neutral,neutral
That&#39;s all ur fault peter,neutral,negative
what happened to the new goblin/goblin jr? he kind of just didnÃ??t exist in this movie. or maybe it was because the green goblin was already the biggest threat?,neutral,neutral
"This was literally better than End Game, possibly even better than Infinity War, the crossover with the spidermen was better than any of the other heroes featuring small little nothingburger roles in other MCU movies, and this is the first one to ever actually incorporate more than ONE villain. Like cool there&#39;s all the heroes in avengers as they fight a bunch of faceless armies from whatever bad guys are in them. But this has multiple noteworthy villains AND they&#39;re actually given wayyy better character development than almost every other bad guy in the mcu that feels like a surface level villain in a cookie cutter movie. This was a peak moment and unless that &#39;Sinister Six&#39; movie that was having rumors about it was a separate thing from this I&#39;m not sure how many more MCU movies we&#39;ll get with more than one villain. Even Multiverse of Madness didn&#39;t measure up to this, it just had other hero cameos no villains, this was honestly a much better multiverse movie than that unfortunately, this is iconic.",positive,negative
